epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,728.719,0.60207,0.37638,0.79877,0.94966,0.90531,0.96247,0.80528,0.57191,0.38306,0.77999,0.00026,0.00026,0.00026
82,737.51,0.61553,0.38133,0.79077,0.96678,0.89049,0.95683,0.80501,0.57972,0.39275,0.78435,0.000247625,0.000247625,0.000247625
83,746.303,0.58252,0.36103,0.78671,0.95996,0.89271,0.95186,0.80095,0.57116,0.39844,0.78181,0.00023525,0.00023525,0.00023525
84,755.085,0.61804,0.38214,0.79446,0.96775,0.88915,0.94542,0.80466,0.56052,0.40309,0.781,0.000222875,0.000222875,0.000222875
85,763.945,0.57923,0.35476,0.78632,0.96786,0.88815,0.9492,0.79963,0.55882,0.39244,0.78001,0.0002105,0.0002105,0.0002105
86,772.738,0.59789,0.362,0.79017,0.95741,0.89672,0.95242,0.81167,0.55966,0.38985,0.78013,0.000198125,0.000198125,0.000198125
87,781.541,0.58469,0.35852,0.79717,0.95604,0.90022,0.94942,0.80541,0.56165,0.38195,0.78138,0.00018575,0.00018575,0.00018575
88,790.338,0.58251,0.35385,0.78802,0.96901,0.88892,0.95035,0.80516,0.55405,0.37826,0.77958,0.000173375,0.000173375,0.000173375
89,799.19,0.58174,0.36502,0.79438,0.97437,0.88691,0.95214,0.81042,0.54271,0.37427,0.77854,0.000161,0.000161,0.000161
90,807.977,0.57845,0.35598,0.78945,0.97965,0.89979,0.95991,0.81092,0.55811,0.36567,0.78028,0.000148625,0.000148625,0.000148625
91,817.856,0.54749,0.33904,0.78429,0.97968,0.9077,0.96039,0.81368,0.56091,0.37983,0.77921,0.00013625,0.00013625,0.00013625
92,826.581,0.55748,0.34464,0.78434,0.97328,0.89292,0.9554,0.80529,0.56373,0.37708,0.77767,0.000123875,0.000123875,0.000123875
93,835.304,0.53895,0.32851,0.78471,0.96866,0.90186,0.95276,0.79886,0.55671,0.38497,0.77779,0.0001115,0.0001115,0.0001115
94,844.017,0.53837,0.32312,0.78383,0.96079,0.90311,0.95226,0.80934,0.56118,0.38394,0.77903,9.9125e-05,9.9125e-05,9.9125e-05
95,852.717,0.5369,0.32617,0.78764,0.95497,0.90773,0.95136,0.80336,0.56177,0.38109,0.77832,8.675e-05,8.675e-05,8.675e-05
96,861.415,0.52832,0.32368,0.78809,0.96541,0.89852,0.95313,0.80878,0.55552,0.37483,0.77781,7.4375e-05,7.4375e-05,7.4375e-05
97,870.125,0.52567,0.32024,0.78947,0.9661,0.90397,0.94463,0.8121,0.56205,0.3851,0.77859,6.2e-05,6.2e-05,6.2e-05
98,878.83,0.51571,0.30934,0.78494,0.97253,0.89917,0.95059,0.80733,0.54688,0.38465,0.77776,4.9625e-05,4.9625e-05,4.9625e-05
99,887.564,0.51799,0.31588,0.78057,0.96643,0.91764,0.9527,0.80877,0.5573,0.38687,0.77783,3.725e-05,3.725e-05,3.725e-05
100,896.284,0.5352,0.31369,0.7941,0.97122,0.90787,0.95281,0.80952,0.55197,0.37972,0.77773,2.4875e-05,2.4875e-05,2.4875e-05
